level: log, messages: Produto 8, data de vencimento 1
level: log, messages: Produto 8, data de vencimento 5
level: log, messages: Produto 8, data de vencimento 11
level: log, messages: Produto 8, data de vencimento 15
level: log, messages: Produto 8, data de vencimento 21
level: log, messages: Produto 8, data de vencimento 25
level: log, messages: Produto 9, data de vencimento 1
level: log, messages: Produto 9, data de vencimento 5
level: log, messages: Produto 9, data de vencimento 11
level: log, messages: Produto 9, data de vencimento 15
level: log, messages: Produto 9, data de vencimento 21
level: log, messages: Produto 9, data de vencimento 25
level: log, messages: Produto 10, data de vencimento 1
level: log, messages: Produto 10, data de vencimento 5
level: log, messages: Produto 10, data de vencimento 11
level: log, messages: Produto 10, data de vencimento 15
level: log, messages: Produto 10, data de vencimento 21
level: log, messages: Produto 10, data de vencimento 25
